"BehaviorSpace results (NetLogo 6.1.0)"
"mussels.nlogo"
"experiment"
"12/08/2019 23:23:45:676 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-39","39","-39","39"
"[run number]","1","2","3","4","5","6","7","8","9","10"
"larvae-death-rate","0","0","0","0","0","0","0","0","0","0"
"bass-restock-x","-12","-12","-12","-12","-12","-12","-12","-12","-12","-12"
"initial-bass-pop","6","6","6","6","6","6","6","6","6","6"
"bass-restock-y","5","5","5","5","5","5","5","5","5","5"
"initial-mussel-pop","20","20","20","20","20","20","20","20","20","20"
"restock","true","true","true","true","true","true","true","true","true","true"
"attach-rate","0","0","0","0","0","0","0","0","0","0"
"[steps]","424","424","424","424","424","424","424","424","424","424"

"[initial & final values]","avg-mussel-population","avg-mussel-population","avg-mussel-population","avg-mussel-population","avg-mussel-population","avg-mussel-population","avg-mussel-population","avg-mussel-population","avg-mussel-population","avg-mussel-population"
,"16.1","260.175","42.55","235.3625","65.0375","644.725","25.05","356.9875","145.225","199.7875"
