"BehaviorSpace results (NetLogo 6.1.0)"
"mussels.nlogo"
"experiment"
"12/08/2019 23:24:11:700 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-39","39","-39","39"
"[run number]","larvae-death-rate","bass-restock-x","initial-bass-pop","bass-restock-y","initial-mussel-pop","restock","attach-rate","[step]","avg-mussel-population"
"2","0","0","6","14","20","true","0","424","25.075"
"7","0","0","6","14","20","true","0","424","26.15"
"8","0","0","6","14","20","true","0","424","114.075"
"6","0","0","6","14","20","true","0","424","139.025"
"1","0","0","6","14","20","true","0","424","182.2"
"5","0","0","6","14","20","true","0","424","249.2875"
"4","0","0","6","14","20","true","0","424","279.9125"
"3","0","0","6","14","20","true","0","424","184.9875"
"10","0","0","6","14","20","true","0","424","9.7"
"9","0","0","6","14","20","true","0","424","423.35"
